FitchEntityID;OPERATING_ROAA;TOTAL_EQUITY_TOTAL_ASSETS;LA_to_TA;NET_LOANS_TOTAL_ASSETS
1271232;0.51;16.93;39.87711213510048;46.61
1271250;1.36;12.75;50.41192624563937;44.4
1005625;1.65;11.6;24.86091794158017;65.6
111506;0.67;5.79;21.699082753079807;70.35
1271271;1.98;17.4;50.533980582554406;41.29
1314270;-0.8;11.95;45.044319097429465;48.8
1000001;2.59;16.96;38.634879163945136;56.05
1006799;1.18;7.0;31.75011321108217;65.93
1007050;2.38;14.5;43.1698666992801;52.02
1007708;1.45;11.8;39.742256555008574;52.94
1008290;2.29;12.27;37.401549996852054;54.23
1003678;1.7;14.38;17.718756393893432;57.59
1022340;0.31;14.86;31.646900741945004;60.96
1009505;2.91;14.8;5.891496908494787;75.01
1271274;0.56;12.06;46.606994171516824;39.2
1010079;1.41;15.88;35.547335692081276;48.41
1010218;2.38;12.79;32.55072554808554;61.63
1288290;1.78;16.2;33.09411523483903;59.34
1010697;1.58;11.17;30.701656152400858;46.38
1271277;0.15;7.01;71.04477611934121;25.52
1273850;1.58;13.44;50.72018890199965;33.05
111956;1.41;8.61;32.34941585917079;50.23
1011532;1.4;11.98;19.21397379913006;56.63
1008411;0.81;11.48;20.16856600190024;53.09
102931;0.74;4.75;24.875491873492738;48.81
1002255;1.38;19.17;48.79621668099742;46.22
1470788;1.42;92.43;2.126388398911671;87.38
1008740;1.07;13.29;27.097053215121193;53.99
1001958;0.89;12.04;8.828046471995878;74.5
1002831;1.07;12.61;4.137653316330811;78.18
1002944;0.67;6.52;20.906593474160047;53.5
1000082;1.61;16.82;14.178802588996763;71.53
105309;0.52;5.47;29.829175024435635;37.09
1237614;0.27;3.41;48.55579295464448;25.36
111458;0.59;6.11;14.571773891215194;46.03
107755;0.37;4.17;42.80102407108895;23.03
107760;0.62;5.71;26.392916477873435;61.86
113899;0.7;6.62;19.65054853124763;55.71
1134570;0.51;5.03;27.02165676933718;39.32
1237613;0.44;5.53;28.562051037821963;49.03
12624;0.13;3.41;38.61373728692165;26.77
100432;0.37;5.02;37.761228676650504;31.7
1222912;0.52;6.26;3.4806282722513084;61.14
1465166;1.92;8.42;8.222433620969547;66.14
1000247;0.49;4.36;13.022195650549287;74.33
1462821;0.03;5.75;37.963545505210114;6.43
1473734;0.54;17.03;19.93664302911167;65.57
1464298;0.55;9.09;9.09469486009916;80.82
1473732;0.29;8.95;8.168671207521212;70.26
1446822;1.02;15.75;11.561963255100604;74.65
1444786;0.77;6.4;12.449102729864565;78.41
111448;0.86;6.44;34.67142524633408;31.22
1419452;0.55;10.71;14.705760737960352;73.76
1470322;0.46;11.36;2.88511865978151;77.77
1457707;0.43;10.25;13.702507301659328;74.73
1380370;0.26;4.15;10.340310048871991;79.23
1469378;0.67;16.19;8.232846014299435;79.37
1497860;0.44;14.22;9.60198797670506;79.35
1008286;0.65;5.73;22.745232216666782;50.53
1000222;0.64;9.01;23.193055293451597;74.99
1000230;0.6;7.13;3.3299403809800787;78.27
1001589;0.74;6.37;1.721004810261892;70.1
1000832;-0.06;6.0;1.1217948717948716;62.73
1474411;0.47;17.05;43.325128846703024;56.37
1001534;1.38;11.53;9.897414700135277;50.76
1062439;-0.05;13.32;97.50862399386739;1.82
1250650;1.68;10.7;19.806812404677174;58.65
1005157;1.25;11.32;9.097320169252468;33.43
1007321;1.3;10.3;40.200445434298445;53.45
1007270;3.08;15.23;13.62053959965187;25.15
1006770;0.68;11.81;38.388150447915656;47.09
1007106;0.88;7.74;8.199934661875204;36.62
1012635;-0.04;7.03;98.50342964040742;0.08
1033148;0.27;5.13;26.008182871326248;45.58
1003187;0.07;4.9;78.95796598600762;14.21
1415614;-0.06;11.05;52.97411177141088;19.41
1001695;0.08;12.13;74.60687836055595;23.27
1000902;0.66;12.63;8.484990934121281;67.59
1342610;5.03;54.11;23.922171739385426;0.91
1012726;0.77;9.4;11.314475873544092;78.87
1471187;0.1;4.23;70.39989741027523;20.38
1002947;1.47;9.81;24.93302076356329;75.0
1033145;0.53;5.7;70.7019240715286;18.18
107793;2.0;10.78;1.4532831254412804;98.19
1006592;0.35;4.21;8.205072494694328;83.02
1005024;0.0;12.03;20.607122008172798;60.25
1004602;1.34;9.74;23.775100401606426;51.59
1002040;0.35;6.67;18.92987434130523;66.77
1000831;0.91;4.23;52.29650027742956;8.98
1005659;0.97;13.41;14.231637184246923;78.77
1006041;0.46;10.39;31.42321439034394;60.84
1001309;2.16;7.24;29.74279922290734;19.62
1006364;0.88;10.77;65.78828489685289;19.85
1410130;0.24;5.86;23.225991217463246;51.01
1007643;1.52;13.98;3.5169318645441856;86.1
1007584;1.22;7.53;64.649209486166;25.72
1277510;1.79;18.66;43.337174464162246;32.36
1007648;-0.14;6.84;51.29881816545684;43.1
1007813;0.18;10.24;32.03124999999999;67.1
1002716;1.0;10.27;56.6772026866851;5.14
1010176;0.07;5.27;88.69530785982974;10.46
1011099;0.0;7.07;7.59361997226075;16.68
1011193;1.63;10.06;19.805644302449412;56.08
1011943;1.2;6.08;4.450502152080344;65.24
1501715;1.86;13.86;15.535510990454505;49.44
1003886;3.84;13.06;55.62979460529572;22.71
1002650;0.38;2.77;83.98350157386302;2.15
1012643;-1.01;8.17;56.04959384352287;42.41
111464;0.24;6.63;27.794561265870342;46.7
1070445;0.48;5.82;7.297380973113131;77.43
102798;0.11;4.62;36.45136879107526;27.24
108162;0.23;5.63;39.29991207885139;40.73
1037168;1.14;11.97;16.659999272647923;68.76
111463;0.54;6.31;40.695512606165984;40.04
111514;1.42;15.11;8.581865825764474;66.59
111516;0.74;7.1;8.792938892378475;62.1
1096670;0.76;10.32;59.69481306523292;40.01
1010137;0.52;8.98;77.4694424207637;5.61
1054275;-0.49;21.17;17.240809309706425;72.57
1009290;0.33;5.38;1.9226137035496094;22.2
1001937;0.59;18.22;26.13202400436443;33.93
1010990;0.94;18.31;11.916835699797161;29.67
1401630;1.33;7.34;0.9434549150984817;97.71
1383251;3.85;20.51;7.624825847789812;9.66
1251251;0.21;7.12;4.550710029349856;72.5
1003916;1.48;10.45;22.566855552241773;46.82
1492432;2.8;31.54;32.42028173121984;21.08
1004275;2.47;14.59;7.412317039491853;20.46
1004793;2.75;8.19;9.788677566455345;21.92
1005753;-0.02;9.97;23.84259259259259;32.91
1001071;0.31;16.51;42.89894215620077;45.16
1291590;0.45;6.65;7.1466666666666665;33.8
1006803;1.53;7.95;1.8984351649199265;40.96
1008795;0.86;6.71;22.227287071776708;59.39
1475007;0.04;19.73;38.90459183920497;36.73
1391618;0.93;10.09;15.867628874002696;71.41
105353;0.5;6.58;2.864357864357864;85.03
1009111;0.39;10.75;32.67514040792196;22.14
1025881;-0.76;20.68;45.982142857142854;40.18
1009353;0.35;7.78;11.612903225806452;39.61
1011261;0.0;11.19;7.755775577557757;65.7
1373471;1.41;14.46;20.553144200543343;29.92
1192510;0.06;6.78;24.98617456630678;59.57
1391591;1.84;5.84;0.8165048741293819;80.13
