Date;Open;High;Low;Close;Adj Close;Volume
03/04/1992;3234.100098;3250.889893;3211.310059;3249.100098;3249.100098;211500
06/04/1992;3249.300049;3276.830078;3249.300049;3275.500000;3275.500000;201100
07/04/1992;3275.500000;3279.290039;3211.090088;3213.600098;3213.600098;224900
08/04/1992;3213.600098;3213.600098;3161.229980;3181.399902;3181.399902;297100
09/04/1992;3181.800049;3231.659912;3181.800049;3225.000000;3225.000000;244900
10/04/1992;3225.600098;3262.969971;3225.600098;3255.399902;3255.399902;186500
13/04/1992;3255.399902;3270.570068;3248.429932;3269.899902;3269.899902;132200
14/04/1992;3269.899902;3322.229980;3269.449951;3306.100098;3306.100098;260500
15/04/1992;3307.000000;3354.199951;3307.000000;3353.800049;3353.800049;254600
16/04/1992;3353.800049;3366.500000;3343.250000;3366.500000;3366.500000;278400
20/04/1992;3365.600098;3365.610107;3315.520020;3336.300049;3336.300049;222900
21/04/1992;3336.300049;3350.629883;3320.889893;3343.300049;3343.300049;200800
22/04/1992;3343.300049;3352.860107;3330.719971;3338.800049;3338.800049;181600
23/04/1992;3338.800049;3352.860107;3330.719971;3348.600098;3348.600098;248100
24/04/1992;3348.600098;3361.810059;3323.120117;3324.500000;3324.500000;212200
27/04/1992;3324.000000;3324.020020;3303.669922;3304.560059;3304.560059;216100
28/04/1992;3304.500000;3317.080078;3283.989990;3307.899902;3307.899902;188600
29/04/1992;3308.100098;3338.770020;3308.100098;3333.199951;3333.199951;212800
30/04/1992;3333.199951;3361.139893;3328.489990;3359.100098;3359.100098;229600
01/05/1992;3359.100098;3362.030029;3324.020020;3336.100098;3336.100098;193800
04/05/1992;3336.100098;3387.520020;3335.870117;3378.100098;3378.100098;186800
05/05/1992;3378.100098;3378.129883;3358.899902;3359.399902;3359.399902;180800
06/05/1992;3360.000000;3383.719971;3360.000000;3369.399902;3369.399902;179400
07/05/1992;3369.399902;3374.780029;3357.330078;3363.399902;3363.399902;175700
08/05/1992;3363.399902;3375.669922;3353.530029;3369.399902;3369.399902;145600
11/05/1992;3369.399902;3397.810059;3368.959961;3397.600098;3397.600098;141100
12/05/1992;3397.600098;3440.669922;3373.909912;3385.100098;3385.100098;190300
13/05/1992;3385.100098;3396.790039;3378.709961;3392.000000;3392.000000;177200
14/05/1992;3392.000000;3393.580078;3357.209961;3368.899902;3368.899902;182700
15/05/1992;3368.899902;3368.899902;3346.000000;3353.100098;3353.100098;184300
18/05/1992;3353.100098;3381.639893;3353.090088;3376.000000;3376.000000;149600
19/05/1992;3376.000000;3440.189941;3368.469971;3398.000000;3398.000000;209500
20/05/1992;3398.000000;3404.340088;3388.229980;3393.800049;3393.800049;342300
21/05/1992;3393.800049;3394.090088;3365.540039;3378.699951;3378.699951;191900
22/05/1992;3378.699951;3392.620117;3376.520020;3386.800049;3386.800049;176900
26/05/1992;3386.800049;3386.800049;3356.439941;3364.199951;3364.199951;259400
27/05/1992;3364.199951;3380.330078;3360.070068;3370.399902;3370.399902;223900
28/05/1992;3370.399902;3398.429932;3368.620117;3398.399902;3398.399902;183500
29/05/1992;3398.399902;3420.209961;3396.100098;3396.899902;3396.899902;207700
01/06/1992;3396.899902;3413.469971;3373.030029;3413.199951;3413.199951;212800
02/06/1992;3413.199951;3420.469971;3392.729980;3396.100098;3396.100098;223500
03/06/1992;3396.100098;3422.280029;3389.360107;3407.000000;3407.000000;226900
04/06/1992;3407.000000;3410.100098;3392.469971;3399.699951;3399.699951;243700
